Micronucleus.Mn.NCE Sex Batch Micronucleus.Date.Year
0.663293096421277 M OBT40 2012
0.997397862282957 M OBT40 2012
0.979885062579942 M OBT40 2012
0.0986343804885179 M OBT40 2012
0.803945291387531 M OBT40 2012
0.699426207571367 M OBT40 2012
1.20035885803086 M OBT40 2012
0.307357296364752 M OBT40 2012
0.708602106764754 M OBT40 2012
0.0950366523629251 M OBT40 2012
0.430072563785833 M OBT40 2012
0.414413329600076 M OBT40 2012
1.08999740829823 M OBT40 2012
-0.685771607977826 M OBT40 2012
-1.1030625561996 M OBT40 2012
2.17009037758456 M OBT40 2012
-1.58548076918287 F OBT06 2010
-0.441886377791201 F OBT06 2010
-0.769783091244082 F OBT06 2010
0.497876022264821 F OBT06 2010
-0.0806575641468489 F OBT06 2010
-0.170921215869397 F OBT06 2010
0.0878448378958718 F OBT06 2010
-0.833991605440709 F OBT06 2010
0.116643131318069 F OBT06 2010
-0.262602279586351 F OBT06 2010
1.40028306040185 F OBT06 2010
0.270022612688886 F OBT06 2010
-1.30217332172415 F OBT06 2010
0.266310613204095 F OBT06 2010
0.764976204466731 F OBT06 2010
0.375696073712805 F OBT45 2012
-1.77611304995087 F OBT45 2012
-0.870026880865248 F OBT45 2012
-0.46171499798891 F OBT45 2012
0.0268599608844502 F OBT45 2012
1.00924501514019 F OBT45 2012
-0.28863965930806 F OBT45 2012
-0.741201245131678 F OBT45 2012
-1.52546620283096 F OBT45 2012
-0.559655727484482 F OBT45 2012
-2.69010952715886 F OBT45 2012
2.06873001926827 F OBT45 2012
-3.18881525863846 F OBT45 2012
0.192765201943332 F OBT45 2012
-0.945731181230243 F OBT45 2012
-0.222036185593582 F OBT45 2012
-2.06873001926827 F OBT44 2012
-0.131077138791897 F OBT44 2012
-0.534700258299563 F OBT44 2012
-0.997397862282957 F OBT44 2012
-0.360368702161457 F OBT44 2012
-1.83071657942867 F OBT44 2012
-1.36308049616791 F OBT44 2012
-0.493826705042641 F OBT44 2012
-1.74245664527037 F OBT44 2012
-2.48770196360037 F OBT44 2012
-2.10016549284447 F OBT44 2012
-1.8501931612293 F OBT44 2012
-1.65181912582444 F OBT44 2012
-0.185474163958116 F OBT44 2012
-2.8563285271777 F OBT44 2012
-1.17856501702549 F OBT43 2012
-0.505999297457236 F OBT43 2012
-0.247804446658302 F OBT43 2012
0.156404378996559 F OBT43 2012
-1.13657908922613 F OBT43 2012
-0.699426207571367 F OBT43 2012
-1.59819313992282 F OBT43 2012
-1.91326382986089 F OBT43 2012
-1.05812161768478 F OBT43 2012
-0.041191967629163 F OBT43 2012
-1.87039798614872 F OBT43 2012
-0.258897553705813 F OBT43 2012
-0.00537137213148356 F OBT43 2012
-1.93608621267045 F OBT43 2012
-0.406621894115109 F OBT43 2012
-1.8119106729526 F OBT43 2012
-0.968374954916352 F OBT42 2012
-1.46001586307071 F OBT42 2012
-0.39498068465878 F OBT42 2012
-2.30034695572788 F OBT42 2012
0.64114485871392 F OBT42 2012
0.839072598766277 F OBT42 2012
-0.985689070700932 F OBT42 2012
-1.25356543847045 F OBT42 2012
-1.31057911216813 F OBT42 2012
-1.28563227130428 F OBT42 2012
-0.828932052171108 F OBT42 2012
-1.35406924921982 F OBT42 2012
-1.21521076866575 F OBT42 2012
-0.422230004555503 F OBT42 2012
-0.356550191016388 F OBT42 2012
0.477709273711049 F OBT42 2012
-0.645549071832349 F OBT42 2012
0.833991605440709 M OBT45 2012
0.314874237523353 M OBT45 2012
0.704006747723847 M OBT45 2012
0.398855065642337 M OBT45 2012
2.69010952715887 M OBT45 2012
1.57301957483054 M OBT45 2012
1.09650658575195 M OBT45 2012
1.65181912582444 M OBT45 2012
1.43953147093846 M OBT45 2012
-0.418318472138381 M OBT45 2012
1.16434132840629 M OBT45 2012
1.22273825949407 M OBT45 2012
1.30217332172415 M OBT45 2012
0.658837692736188 M OBT45 2012
1.02728620906208 M OBT44 2012
0.00537137213148342 M OBT44 2012
-0.326183249012907 M OBT44 2012
1.20775151272039 M OBT44 2012
0.534700258299564 M OBT44 2012
-0.21103861062223 M OBT44 2012
1.23033567962278 M OBT44 2012
1.31057911216813 M OBT44 2012
-0.0376082876612559 M OBT44 2012
0.277457843659919 M OBT44 2012
0.333745743282239 M OBT44 2012
1.79372456231898 M OBT44 2012
-0.214701568001745 M OBT44 2012
0.713212478565033 M OBT44 2012
1.72634305277278 M OBT43 2012
0.0125334695080693 M OBT43 2012
1.6659956255837 M OBT43 2012
1.03950178448908 M OBT43 2012
0.681248465835246 M OBT43 2012
0.854447398695989 M OBT43 2012
-0.485752216082686 M OBT43 2012
0.572264410033862 M OBT43 2012
-0.0734744545577348 M OBT43 2012
-0.654395329185103 M OBT42 2012
1.21521076866575 M OBT42 2012
1.12302101008149 M OBT42 2012
0.46171499798891 M OBT42 2012
0.593484216432057 M OBT42 2012
-0.576487503231937 M OBT42 2012
-0.244113577670993 M OBT42 2012
1.07074141760692 M OBT42 2012
1.25356543847045 M OBT42 2012
1.2774920894984 M OBT42 2012
-1.12302101008149 M OBT42 2012
0.731808083859618 M OBT42 2012
0.0591192290548109 M OBT42 2012
0.99152647467733 M OBT42 2012
-0.844175346925836 F OBT49 2012
-2.25257887572283 F OBT49 2011
-0.314874237523353 F OBT49 2011
-1.56079796155286 F OBT49 2012
0.152780433250665 F OBT49 2012
-1.37220380899873 F OBT49 2012
-0.731808083859618 F OBT49 2011
-1.08999740829823 F OBT49 2012
0.292374896226804 F OBT49 2012
0.387249606765427 F OBT49 2012
-0.518247332530433 F OBT49 2012
